,Kingdom,Phylum,Class,Order,Family,Genus,Species
28e4e0e5b48a56e970f54f3a3d56456c,d__Bacteria,p__Spirochaetota,c__Spirochaetia,o__Sphaerochaetales,f__Sphaerochaetaceae,g__Unclassified,s__Unclassified
5a00455c510ca23d6df816bf7cd803dc,d__Bacteria,p__Spirochaetota,c__Spirochaetia,o__Sphaerochaetales,f__Sphaerochaetaceae,g__Unclassified,s__Unclassified
54de95436cb100038fbd5fb0fce53817,d__Bacteria,p__Spirochaetota,c__Spirochaetia,o__Sphaerochaetales,f__Sphaerochaetaceae,g__Unclassified,s__Unclassified
333d8b29c6e3ce617db3461ac628ffd7,d__Bacteria,p__Spirochaetota,c__Spirochaetia,o__Sphaerochaetales,f__Sphaerochaetaceae,g__Unclassified,s__Unclassified
b92ed0c0fbca824dfda7cac1ceed3e4d,d__Bacteria,p__Spirochaetota,c__Spirochaetia,o__Sphaerochaetales,f__Sphaerochaetaceae,g__Unclassified,s__Unclassified
d2bd64ab9d360776fbda3ceb7fd7894d,d__Bacteria,p__Spirochaetota,c__Spirochaetia,o__Sphaerochaetales,f__Sphaerochaetaceae,g__Unclassified,s__Unclassified
1cbe83af2390e3112a09fde3a10fa025,d__Bacteria,p__Spirochaetota,c__Spirochaetia,o__Sphaerochaetales,f__Sphaerochaetaceae,g__Unclassified,s__Unclassified
c49eae4ccfe6a3278af5dd1521982aee,d__Bacteria,p__Spirochaetota,c__Spirochaetia,o__Sphaerochaetales,f__Sphaerochaetaceae,g__Unclassified,s__Unclassified
80c4a1935647061bbcd6ab2dbded551d,d__Bacteria,p__Spirochaetota,c__Spirochaetia,o__Sphaerochaetales,f__Sphaerochaetaceae,g__Unclassified,s__Unclassified
5b2cbeea7276c08f823b7cddbdfdf077,d__Bacteria,p__Spirochaetota,c__Spirochaetia,o__Sphaerochaetales,f__Sphaerochaetaceae,g__Unclassified,s__Unclassified
72ec4ed97a6c7bce1f3cfd3280ae6718,d__Bacteria,p__Spirochaetes,c__Spirochaetia,o__Spirochaetales,f__Spirochaetaceae,g__Treponema,s__Treponema bryantii
56fee5dbdfc673b32a1c67b2edb44150,d__Bacteria,p__Spirochaetes,c__Spirochaetia,o__Spirochaetales,f__Spirochaetaceae,g__Treponema,s__Treponema bryantii
0b8aa10968d0024677e62947b6b8bc56,d__Bacteria,p__Spirochaetes,c__Spirochaetia,o__Spirochaetales,f__Spirochaetaceae,g__Treponema,s__Treponema bryantii
d3a40a84f68b8813d42ce7ff8d3646d2,d__Bacteria,p__Spirochaetes,c__Spirochaetia,o__Spirochaetales,f__Spirochaetaceae,g__Treponema,s__Treponema bryantii
f55681fa48bcc9966b67a76da75f6f9a,d__Bacteria,p__Spirochaetes,c__Spirochaetia,o__Spirochaetales,f__Spirochaetaceae,g__Treponema,s__Treponema bryantii
0cdfba9652732d6565f313aa15a93857,d__Bacteria,p__Spirochaetes,c__Spirochaetia,o__Spirochaetales,f__Spirochaetaceae,g__Treponema,s__Treponema bryantii
3f975f9f81c9e5649b3663c50b70d285,d__Bacteria,p__Spirochaetes,c__Spirochaetia,o__Spirochaetales,f__Spirochaetaceae,g__Treponema,s__Treponema bryantii
6a3fd2a4bb9732e97006f3971a0b7cc2,d__Bacteria,p__Spirochaetes,c__Spirochaetia,o__Spirochaetales,f__Spirochaetaceae,g__Treponema,s__Treponema bryantii
b25613788bed35bf42b434febc0ff0e0,d__Bacteria,p__Spirochaetes,c__Spirochaetia,o__Spirochaetales,f__Spirochaetaceae,g__Treponema,s__Treponema bryantii
d033acf099a374a6ea45675f978e0539,d__Bacteria,p__Spirochaetes,c__Spirochaetia,o__Spirochaetales,f__Spirochaetaceae,g__Treponema,s__Treponema bryantii
82ca19e86007de5771fa4081233ed02f,d__Bacteria,p__Spirochaetes,c__Spirochaetia,o__Spirochaetales,f__Spirochaetaceae,g__Treponema,s__Treponema bryantii
5c281acc75b771723a3b15f297e0083d,d__Bacteria,p__Spirochaetota,c__Spirochaetia,o__Treponematales,f__Treponemataceae,g__Treponema_D,s__Treponema D sp900769985
56c8533dadf62025626bcf2ec19cb217,d__Bacteria,p__Spirochaetota,c__Spirochaetia,o__Treponematales,f__Treponemataceae,g__Unclassified,s__Unclassified
